1 75949
2 124902
3 204829
4 269742
5 366011
6 433771
7 475340
8 554285
9 631185
12 883536
13 1039376
14 1145218
15 1221172
20 1541570
32 4581082
64 9365262
80 12876014
128 15122668
256 33374239
400 58170400
10 710667
25 4311954
35 4702296
36 4784384
38 5016840
45 5535650
46 6242372
48 5837403
50 7948778
52 7319339
53 8328562
55 8326650
57 8544410
60 9167093
63 6681409
65 10800924
67 9084730
68 9694818
70 9796212
71 9130012
74 10580858
76 11298388
80 14090367
85 12799606
82 8715960
100 16397645
105 12395757
